"#","Solution","W","T","P0","P1","P2","P3","P4","P5","P6","v1","v2","v3"
"46","C-0_0_2_1_0_0_2_2_2","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","24","0.10","0.05","2","0.8","27","23","9277.44","371.5","2840.5"
"47","C-0_0_4_2_1_1_0_2_1","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","26","0.15","0.08","5","0.6","27","18","7303.53","93.0","2348.62"
"48","C-0_0_4_2_1_1_0_2_0","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","26","0.15","0.08","5","0.6","27","13","7302.89","92.5","2348.44"
"49","C-0_0_4_2_1_1_0_2_3","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","26","0.15","0.08","5","0.6","27","28","7454.19","52.5","2391.19"
"50","C-0_0_4_2_1_1_0_2_2","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","26","0.15","0.08","5","0.6","27","23","7292.21","77.0","2345.35"
"51","C-0_0_4_2_3_1_3_3_0","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","26","0.15","0.14","5","0.9","28","13","6271.21","58.0","2053.76"
"52","C-0_0_4_2_3_1_3_3_1","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","26","0.15","0.14","5","0.9","28","18","6273.01","58.0","2054.28"
"53","C-0_0_4_3_3_0_2_3_0","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","26","0.20","0.14","2","0.8","28","13","6701.68","88.0","1950.99"
"54","C-0_0_4_3_3_0_2_3_2","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","26","0.20","0.14","2","0.8","28","23","6906.51","83.0","2008.06"
"55","C-0_0_4_3_3_0_2_3_1","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","26","0.20","0.14","2","0.8","28","18","6702.97","88.0","1951.35"
"56","C-0_0_0_2_0_4_2_0_1","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","22","0.15","0.05","14","0.8","25","18","11718.78","667.5","4467.0"
"57","C-0_0_0_2_0_4_2_0_0","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","22","0.15","0.05","14","0.8","25","13","11717.09","668.0","4466.4"
"58","C-0_0_0_2_0_4_2_0_3","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","22","0.15","0.05","14","0.8","25","28","12285.42","587.0","4654.51"
"59","C-0_0_0_2_0_4_2_0_2","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","22","0.15","0.05","14","0.8","25","23","11891.69","648.0","4520.95"
"60","C-0_0_4_0_0_4_0_3_1","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","26","0.05","0.05","14","0.6","28","18","8080.47","51.5","3197.7"
"61","C-0_0_4_0_0_4_0_3_2","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","26","0.05","0.05","14","0.6","28","23","8053.17","43.0","3191.47"
"62","C-0_0_4_0_0_4_0_3_0","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","26","0.05","0.05","14","0.6","28","13","8079.9","51.5","3197.53"
"63","C-0_0_4_0_0_4_0_3_3","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","26","0.05","0.05","14","0.6","28","28","8225.79","27.5","3240.61"
"64","C-0_0_3_0_0_1_2_2_0","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","25","0.05","0.05","5","0.8","27","13","8296.01","126.0","2724.0"
"65","C-0_0_3_0_0_1_2_2_1","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","25","0.05","0.05","5","0.8","27","18","8297.23","126.0","2724.36"
"66","C-0_0_3_0_0_1_2_2_2","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","25","0.05","0.05","5","0.8","27","23","8433.5","111.5","2764.51"
"67","C-0_0_3_0_0_1_2_2_3","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","25","0.05","0.05","5","0.8","27","28","8764.29","63.5","2861.05"
"68","C-0_0_3_1_0_0_1_2_0","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","25","0.10","0.05","2","0.7","27","13","8441.62","162.0","2553.84"
"69","C-0_0_3_3_3_0_3_3_3","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","25","0.20","0.14","2","0.9","28","28","7977.4","21.0","2343.84"
"70","C-0_0_3_1_0_0_1_2_2","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","25","0.10","0.05","2","0.7","27","23","8484.56","142.5","2566.22"
"71","C-0_0_3_1_0_0_1_2_1","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","25","0.10","0.05","2","0.7","27","18","8442.48","161.5","2554.09"
